CATEGORIE,DATE,QUART,PDQ,X,Y,LAT,LONG
Introduction,20150101,nuit,8,289215.072,5036423.336,45.4675637408,-73.6993082284
Introduction,20150101,nuit,48,302729.266,5050945.833,45.5984135229,-73.5265431127
Introduction,20150101,nuit,38,298080.2968,5042832.373,45.5253765684,-73.5860230651
Introduction,20150101,jour,23,302375.198,5046522.116,45.5586064034,-73.5310596776
Introduction,20150101,jour,27,291594.648,5045992.753,45.5537220252,-73.6691348219
Introduction,20150101,jour,23,302375.198,5046522.116,45.5586064034,-73.5310596776
Introduction,20150101,jour,49,305327.122,5059316.968,45.6737417186,-73.4932341781
Introduction,20150101,jour,38,298357.093,5043958.592,45.5355133256,-73.5824944435
Introduction,20150101,jour,16,299612,5036898,45.4719896049,-73.5663520544
Introduction,20150101,jour,42,297210.375,5050179.5,45.5914795101,-73.5972734621
Introduction,20150101,jour,15,299192.516,5038121.849,45.4829991233,-73.5717310227
Introduction,20150101,soir,13,297145.531,5032845.5,45.4355005242,-73.5978339092
Introduction,20150101,soir,15,298792.152,5038772.284,45.4888486988,-73.5768604398
Introduction,20150101,soir,44,298915.434,5046911.544,45.5620899603,-73.5753810079
Introduction,20150101,soir,15,297494.204,5034925.532,45.4542214437,-73.5934083125
Introduction,20150101,soir,13,295850.656,5031729.5,45.4254427938,-73.6143637552
Introduction,20150101,soir,48,300001.879,5050383.079,45.5933362336,-73.5614977985
Introduction,20150101,soir,27,293203.473,5045435.947,45.5487403548,-73.6485157873
Introduction,20150101,soir,8,289171.125,5032933,45.4361551223,-73.6997593364
Introduction,20150101,soir,38,299559.16,5042464.672,45.5220805387,-73.5670873073
Introduction,20150102,nuit,3,275828.1608,5037882.246,45.4802644348,-73.8705903274
Introduction,20150102,nuit,26,293804.46,5040172.047,45.5013835916,-73.6407008907
Introduction,20150102,jour,38,299456.89,5044003.039,45.5359225775,-73.5684132306
Introduction,20150102,jour,27,293611.025,5046988.427,45.5627167312,-73.6433318281
Introduction,20150102,jour,38,298918.894,5043587.593,45.5321799061,-73.5752967418
Introduction,20150102,jour,16,0,0,1,1
Introduction,20150102,jour,27,292291.492,5046280.536,45.5563244525,-73.660217003
Introduction,20150102,jour,27,291526.191,5045808.299,45.5520609491,-73.6700066144
Introduction,20150102,jour,38,297673.907,5042772.08,45.5248299927,-73.5912246282
Introduction,20150102,soir,35,296169.058,5043288.254,45.5294577115,-73.6104980024
Introduction,20150102,soir,27,292291.492,5046280.536,45.5563244525,-73.660217003
Introduction,20150102,soir,27,293447.304,5044656.555,45.5417311421,-73.6453749958
Introduction,20150102,soir,3,274419.0873,5035769.673,45.4611950274,-73.8884833229
Introduction,20150102,soir,15,299198.266,5038672.049,45.4879501172,-73.571663746
Introduction,20150102,soir,23,301921.988,5045647.117,45.5507311331,-73.5368597684
Introduction,20150102,soir,45,298976.917,5057024.928,45.6530933077,-73.5747141306
Introduction,20150102,soir,15,299802.189,5037283.548,45.4754603345,-73.5639235511
Introduction,20150102,soir,44,300278.987,5044726.107,45.5424348288,-73.5578937756
Introduction,20150102,soir,30,297291.405,5047237.744,45.5650095909,-73.596189724
Introduction,20150103,nuit,23,302404.529,5046222.679,45.555912068,-73.5306825057
Introduction,20150103,nuit,13,296176.721,5034170.925,45.4474160989,-73.6102397437
Introduction,20150103,nuit,11,296291.119,5037159.598,45.4743110174,-73.6088290126
Introduction,20150103,nuit,23,301505.705,5044656.38,45.5418142808,-73.5421845894
Introduction,20150103,nuit,11,295524.941,5035913.496,45.4630882552,-73.6186049285
Introduction,20150103,nuit,8,290515.25,5034026.5,45.4460237152,-73.6826113316
Introduction,20150103,nuit,20,299607.23,5040686.567,45.5060807864,-73.5664531362
Introduction,20150103,nuit,13,294807.11,5031914.938,45.427097333,-73.6277029706
Introduction,20150103,nuit,30,296596.879,5046402.127,45.557482601,-73.6050729986
Introduction,20150103,jour,30,296596.604,5046498.166,45.5583467882,-73.6050781318
Introduction,20150103,jour,26,294529.1,5037910.502,45.4810442929,-73.6313809706
Introduction,20150103,jour,44,299539.777,5047927.083,45.5712331062,-73.5673941364
Introduction,20150103,jour,31,295769.17,5045577.779,45.5500546006,-73.615659807
Introduction,20150103,jour,13,292238.75,5032293,45.4304579182,-73.6605345543
Introduction,20150103,jour,7,290620.84,5041708.888,45.5151552238,-73.6814833125
Introduction,20150103,jour,33,294968.614,5042710.82,45.5242458462,-73.6258551153
Introduction,20150103,soir,26,294603.646,5041112.057,45.5098543187,-73.6304939337
Introduction,20150103,soir,8,291430.938,5033359,45.4400353405,-73.6708874106
Introduction,20150103,soir,16,298863.594,5035625,45.4605285782,-73.5759084276
Introduction,20150103,soir,16,299467.125,5036717.5,45.470364289,-73.5682029765
Introduction,20150103,soir,38,298295.494,5043789.091,45.5339875205,-73.5832808998
Introduction,20150103,soir,31,295919.025,5044464.158,45.5400357806,-73.613720379
Introduction,20150103,soir,20,298697.56,5039722.85,45.4974014869,-73.5780824055
Introduction,20150103,soir,15,299752.788,5037323.048,45.4758154186,-73.5645558106
Introduction,20150104,nuit,22,300910.192,5043374.598,45.5302772556,-73.5498001553
Introduction,20150104,nuit,38,299895.698,5043516.076,45.5315439278,-73.562789856
Introduction,20150104,nuit,31,295639.087,5044365.595,45.5391452511,-73.6173031175
Introduction,20150104,nuit,45,296545.887,5054254.534,45.6281400992,-73.6058589044
Introduction,20150104,nuit,11,296340.618,5036678.331,45.4699809554,-73.608187633
Introduction,20150104,jour,26,294892.736,5039948.081,45.499384557,-73.6267706304
Introduction,20150104,jour,12,298814.046,5039154.917,45.4922919877,-73.5765850089
Introduction,20150104,jour,23,302404.529,5046222.679,45.555912068,-73.5306825057
Introduction,20150104,soir,38,298080.2968,5042832.373,45.5253765684,-73.5860230651
Introduction,20150104,soir,23,302530.158,5046508.525,45.5584846293,-73.5290747073
Introduction,20150104,soir,7,290943.654,5043441.622,45.53075347,-73.6774005359
Introduction,20150104,soir,30,294622.351,5048134.239,45.5730426165,-73.6304005363
Introduction,20150104,soir,26,294734.802,5040974.967,45.5086226335,-73.6288125769
Introduction,20150104,soir,45,297439.29,5054223.221,45.6278683804,-73.5944005648
Introduction,20150104,soir,44,299776.493,5046097.725,45.5547736887,-73.5643425326
Introduction,20150104,soir,27,293279.513,5046254.433,45.5561066175,-73.6475612249
Introduction,20150104,soir,21,299962.84,5041609.764,45.5143906516,-73.5619114187
Introduction,20150104,soir,13,292395.406,5032202.5,45.4296463492,-73.6585301964
Introduction,20150105,nuit,23,301846.155,5044965.814,45.5446002075,-73.5378268774
Introduction,20150105,nuit,42,296101.938,5049546.5,45.5857706203,-73.6114685957
Introduction,20150105,jour,44,298310.28,5045923.591,45.5531946505,-73.5831198857
Introduction,20150105,jour,20,298915.736,5040361.061,45.503146256,-73.5752984403
Introduction,20150105,jour,20,299244.491,5040219.746,45.5018773393,-73.5710899045
Introduction,20150105,jour,42,297829.43,5047660.465,45.5688189646,-73.5893033285
Introduction,20150105,jour,23,301567.396,5044799.708,45.5431042875,-73.5413955615
Introduction,20150105,jour,26,295797.546,5040825.557,45.5072927092,-73.6152090587
Introduction,20150105,jour,27,293279.513,5046254.433,45.5561066175,-73.6475612249
Introduction,20150105,jour,21,299420.778,5040810.504,45.5071946104,-73.5688405653
Introduction,20150105,jour,7,291324.382,5043289.217,45.5293895427,-73.6725219673
Introduction,20150105,jour,15,298176.001,5035864.533,45.4626778315,-73.5847038518
